Id,Id2,City_State,Population,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome,EnglishOnly,LanguageNotEnglish,Spanish,AsianLanguages,AllAvailableUnits,Median_Rent
310M200US31340,31340,"Louisville, KY",255440,8.3,26.7,55.5,9.5,32578,95.7,4.3,1.7,1.1,14649,700-749
310M200US31420,31420,"Lubbock, TX",231956,20.4,34.4,39.2,6.1,31289,95.9,4.1,2.2,0.6,17601,500-549
310M200US31460,31460,"Lynchburg, VA",152452,30.9,28.6,39.1,1.4,25349,56,44,40.7,1,6776,800-899
310M200US31540,31540,"Macon, GA",620368,8.2,24.3,49.3,18.2,39837,89.6,10.4,4.5,3,15711,700-749
310M200US31700,31700,"Madera, CA",402776,12.9,31.8,41.7,13.7,43861,87.1,12.9,4.1,1.9,12518,1000-1249
310M200US31740,31740,"Madison, WI",96816,2.4,21.1,69.1,7.5,35104,92.7,7.3,2.7,2.5,3654,800-899
310M200US31860,31860,"Manchester, NH",97643,3.7,15.7,72.4,8.2,36025,94,6,2.1,1.1,2523,700-749
310M200US31900,31900,"Manhattan, KS",122813,21.6,40.6,33.1,4.7,30496,96.7,3.3,0.8,0.1,6210,400-449
310M200US32580,32580,"Mankato, NM",806447,23.5,29.2,42.5,4.8,22506,15,85,83.8,0.7,33811,400-449
310M200US32780,32780,"Mansfield, OH",206583,13.6,39.2,42.7,4.5,27543,90.6,9.4,7.3,0.8,8331,750-799
310M200US32820,32820,"McAllen, TX",1337014,18.2,32.8,41.2,7.8,34065,92.4,7.6,4.5,1.3,69930,450-499
310M200US32900,32900,"Medford, OR",261609,13.9,30.1,53.1,2.9,26847,48.1,51.9,42.4,4.5,7387,800-899
310M200US33100,33100,"Memphis, TN",5775204,17.2,29.5,44.9,8.4,31476,48.6,51.4,40.1,1.3,445029,1000-1249
310M200US33140,33140,"Merced, CA",111293,23.3,39,34.6,3.1,32260,94.5,5.5,3.9,0.3,5859,500-549
310M200US33220,33220,"Miami, FL",83620,12.4,32.7,45.8,9.1,35615,95.2,4.8,1.2,1.6,2386,Margin of Error; Total: - $550 to $599
310M200US33260,33260,"Michigan City, IN",151483,20.5,35.6,37.3,6.6,41431,69,31,28.7,1.1,4398,1500-1999
310M200US33340,33340,"Midland, MI",1565368,14.3,28.2,45.9,11.6,38497,87.6,12.4,7.1,1.9,48748,500-549
310M200US33460,33460,"Midland, TX",3424786,13.3,26.2,45.8,14.7,42955,86.5,13.5,4.4,4.4,77091,1000-1249
310M200US33540,33540,"Milwaukee, WI",111011,9.3,27.1,53.8,9.8,30419,95.5,4.5,1.9,0.8,4779,750-799
