GISJOIN,,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Cnty_Trct,NAME,Total,OnlyEnglish,Spanish,French,FrenchCreole,Italian,Portuguese,German,Yiddish,OtherWestGermanic,Scandinavian,Greek,Russian,Polish,Serbo-Croatian,OtherSlavic,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndo-European,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacificIsland,Navajo,OtherNorthAmericanIndian,Hungarian,Arabic,Hebrew,AfricanLanguages,OtherUnspecified
3.60081E+12,,2010-2014,New York,36,Queens County,81,114700,81114700,"Census Tract 1147, Queens County, New York",1892,0.435,0.091,0,0,0.049,0,0.004,0,0,0,0.014,0,0,0,0,0,0,0,0,0.024,0,0,0.156,0,0.162,0,0,0,0,0.005,0.002,0.002,0,0,0,0,0.05,0.004,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,115100,81115100,"Census Tract 1151, Queens County, New York",1081,0.589,0.022,0,0,0.011,0,0.003,0,0,0.004,0.035,0,0,0.004,0,0,0,0,0,0,0.043,0.006,0.13,0,0.134,0,0,0,0,0.011,0,0.007,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,115500,81115500,"Census Tract 1155, Queens County, New York",2467,0.203,0.249,0,0,0.015,0,0,0,0,0,0.016,0,0,0,0,0.002,0,0,0.043,0,0.023,0,0.328,0,0.107,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,115700,81115700,"Census Tract 1157, Queens County, New York",3133,0.252,0.012,0,0,0.012,0,0,0,0,0,0.029,0,0,0,0,0.003,0,0,0.011,0,0.014,0,0.338,0,0.278,0,0,0,0,0,0.005,0.019,0.017,0,0,0,0,0.01,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,115900,81115900,"Census Tract 1159, Queens County, New York",4211,0.154,0.121,0,0.005,0.004,0,0,0,0,0,0.009,0,0.011,0,0,0,0,0.005,0.006,0,0.051,0,0.381,0,0.249,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,116100,81116100,"Census Tract 1161, Queens County, New York",4422,0.13,0.201,0,0.003,0.001,0.014,0.001,0,0,0,0.001,0.003,0.001,0,0,0,0.002,0,0.01,0,0.008,0.04,0.358,0,0.215,0,0,0,0,0.006,0,0.001,0.004,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,116300,81116300,"Census Tract 1163, Queens County, New York",8882,0.143,0.122,0.01,0.005,0.006,0,0,0.003,0,0,0.006,0.004,0.001,0.005,0.001,0,0.016,0,0.001,0.009,0.021,0,0.424,0,0.219,0,0,0,0,0,0,0.003,0,0,0,0.001,0.001,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,116700,81116700,"Census Tract 1167, Queens County, New York",1796,0.128,0.304,0,0,0.006,0.006,0,0,0,0,0.017,0,0,0.006,0,0,0,0,0.047,0,0,0.003,0.254,0,0.217,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,117100,81117100,"Census Tract 1171, Queens County, New York",2712,0.2,0.266,0,0,0.019,0.006,0,0,0,0,0.059,0.003,0.002,0,0,0,0,0,0,0,0.006,0,0.142,0,0.288,0,0,0,0,0,0,0.008,0,0,0,0,0.002,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,117500,81117500,"Census Tract 1175, Queens County, New York",4625,0.317,0.062,0,0,0.03,0,0.003,0,0,0,0.011,0,0.05,0,0.003,0.014,0,0,0.008,0,0,0.002,0.16,0,0.296,0,0,0,0,0.016,0,0.026,0,0,0,0.002,0,0,0,0
